"","A1","B2","C3","D4","E5","F6","G7","H8","I9","J10","K11","L12","M13","N14","O15","P16","Q17","R18","S19","T20","U21","V22","W23","X24","Y25","Z26","NA27","NA28","NA29","NA30","NA31","NA32","NA33","NA34","NA35","NA36","NA37","NA38","NA39","NA40","NA41","NA42","NA43","NA44","NA45","NA46","NA47","NA48","NA49","NA50","NA51"
"44","2","14","11.6","10","16.1","4","6.8","0","NaN","6","16.7","5","19.2","3","9.4","0","0","0","0","0","NaN","1","3.2","5","10.9","6","17.6","2","20","2","8.3","1","11.1","0","0","2","11.8","3","8.6","6","22.2","9","16.4","2","7.1","0","0","3","9.7","0","NaN"
"45","3","1","0.8","0","0","1","1.7","0","NaN","1","2.8","0","0","0","0","0","0","0","0","0","NaN","0","0","0","0","0","0","1","10","0","0","0","0","0","0","1","5.9","0","0","0","0","1","1.8","0","0","0","0","0","0","0","NaN"
"46","4 o más","1","0.8","0","0","1","1.7","0","NaN","1","2.8","0","0","0","0","0","0","0","0","0","NaN","1","3.2","0","0","0","0","0","0","1","4.2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","3.2","0","NaN"
"47","Total","121","100","62","100","59","100","0","NaN","36","100","26","100","32","100","19","100","8","100","0","NaN","31","100","46","100","34","100","10","100","24","100","9","100","9","100","17","100","35","100","27","100","55","100","28","100","7","100","31","100","0","NaN"
"48",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"49","P10_1_COMPU","Total_Total_f","Total_Total_pct","F1Genero_Femenino_f","F1Genero_Femenino_pct","F1Genero_Masculino_f","F1Genero_Masculino_pct","NSE_A/B_f","NSE_A/B_pct","NSE_C+_f","NSE_C+_pct","NSE_C_f","NSE_C_pct","NSE_C-_f","NSE_C-_pct","NSE_D+_f","NSE_D+_pct","NSE_D_f","NSE_D_pct","NSE_E_f","NSE_E_pct","Edad_Rango_18 - 24_f","Edad_Rango_18 - 24_pct","Edad_Rango_25 - 34_f","Edad_Rango_25 - 34_pct","Edad_Rango_35 - 44_f","Edad_Rango_35 - 44_pct","Edad_Rango_45 - 55_f","Edad_Rango_45 - 55_pct","Plaza_Ciudad de México_f","Plaza_Ciudad de México_pct","Plaza_Tijuana_f","Plaza_Tijuana_pct","Plaza_Monterrey_f","Plaza_Monterrey_pct","Plaza_Guadalajara_f","Plaza_Guadalajara_pct","Plaza_Puebla_f","Plaza_Puebla_pct","Plaza_Mérida_f","Plaza_Mérida_pct","EdocivilHIjos_Casado con hijos_f","EdocivilHIjos_Casado con hijos_pct","EdocivilHIjos_Casado sin hijos_f","EdocivilHIjos_Casado sin hijos_pct","EdocivilHIjos_Soltero con Hijos_f","EdocivilHIjos_Soltero con Hijos_pct","EdocivilHIjos_Soltero sin HIjos_f","EdocivilHIjos_Soltero sin HIjos_pct","EdocivilHIjos_No contestó_f","EdocivilHIjos_No contestó_pct"
"50","1","200","83","96","80","104","86","0","NaN","75","75.8","46","83.6","43","89.6","26","92.9","10","90.9","0","NaN","51","79.7","72","88.9","56","83.6","21","72.4","50","87.7","26","89.7","20","69","42","87.5","30","71.4","32","88.9","84","84","32","74.4","14","87.5","70","85.4","0","NaN"
"51","2","38","15.8","22","18.3","16","13.2","0","NaN","22","22.2","9","16.4","5","10.4","1","3.6","1","9.1","0","NaN","10","15.6","9","11.1","11","16.4","8","27.6","6","10.5","3","10.3","9","31","6","12.5","10","23.8","4","11.1","16","16","11","25.6","2","12.5","9","11","0","NaN"
"52","3","3","1.2","2","1.7","1","0.8","0","NaN","2","2","0","0","0","0","1","3.6","0","0","0","NaN","3","4.7","0","0","0","0","0","0","1","1.8","0","0","0","0","0","0","2","4.8","0","0","0","0","0","0","0","0","3","3.7","0","NaN"
"53","4 o más","0","0","0","0","0","0","0","NaN","0","0","0","0","0","0","0","0","0","0","0","NaN","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","NaN"
"54","Total","241","100","120","100","121","100","0","NaN","99","100","55","100","48","100","28","100","11","100","0","NaN","64","100","81","100","67","100","29","100","57","100","29","100","29","100","48","100","42","100","36","100","100","100","43","100","16","100","82","100","0","NaN"
"55",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
