"","A1","B2","C3","D4","E5","F6","G7","H8","I9","J10","K11","L12","M13","N14","O15","P16","Q17","R18","S19","T20","U21","V22","W23","X24","Y25","Z26","NA27","NA28","NA29","NA30","NA31","NA32","NA33","NA34","NA35","NA36","NA37","NA38","NA39","NA40","NA41","NA42","NA43","NA44","NA45","NA46","NA47","NA48","NA49","NA50","NA51"
"52","3","0","0","0","0","0","0","0","NaN","0","0","0","0","0","0","0","0","0","0","0","NaN","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","NaN"
"53","4 o más","0","0","0","0","0","0","0","NaN","0","0","0","0","0","0","0","0","0","0","0","NaN","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","NaN"
"54","Total","31","100","17","100","14","100","0","NaN","13","100","6","100","10","100","1","100","1","100","0","NaN","8","100","9","100","11","100","3","100","5","100","3","100","3","100","8","100","7","100","5","100","15","100","4","100","1","100","11","100","0","NaN"
"55",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"56","P10_quienUsaCEL","Total_Total_f","Total_Total_pct","F1Genero_Femenino_f","F1Genero_Femenino_pct","F1Genero_Masculino_f","F1Genero_Masculino_pct","NSE_A/B_f","NSE_A/B_pct","NSE_C+_f","NSE_C+_pct","NSE_C_f","NSE_C_pct","NSE_C-_f","NSE_C-_pct","NSE_D+_f","NSE_D+_pct","NSE_D_f","NSE_D_pct","NSE_E_f","NSE_E_pct","Edad_Rango_18 - 24_f","Edad_Rango_18 - 24_pct","Edad_Rango_25 - 34_f","Edad_Rango_25 - 34_pct","Edad_Rango_35 - 44_f","Edad_Rango_35 - 44_pct","Edad_Rango_45 - 55_f","Edad_Rango_45 - 55_pct","Plaza_Ciudad de México_f","Plaza_Ciudad de México_pct","Plaza_Tijuana_f","Plaza_Tijuana_pct","Plaza_Monterrey_f","Plaza_Monterrey_pct","Plaza_Guadalajara_f","Plaza_Guadalajara_pct","Plaza_Puebla_f","Plaza_Puebla_pct","Plaza_Mérida_f","Plaza_Mérida_pct","EdocivilHIjos_Casado con hijos_f","EdocivilHIjos_Casado con hijos_pct","EdocivilHIjos_Casado sin hijos_f","EdocivilHIjos_Casado sin hijos_pct","EdocivilHIjos_Soltero con Hijos_f","EdocivilHIjos_Soltero con Hijos_pct","EdocivilHIjos_Soltero sin HIjos_f","EdocivilHIjos_Soltero sin HIjos_pct","EdocivilHIjos_No contestó_f","EdocivilHIjos_No contestó_pct"
"57","Rr_P10_1_CELULAR_Yo","89","98.9","45","100","44","97.8","0","NaN","23","100","0","0","27","100","0","0","0","0","0","NaN","0","0","33","97.1","0","0","0","0","0","0","0","0","0","0","14","100","0","0","21","95.5","0","0","0","0","0","0","0","0","0","NaN"
"58","Rr_P10_1_CELULAR_EsposoEsposa","54","60","25","55.6","29","64.4","0","NaN","14","60.9","0","0","17","63","0","0","0","0","0","NaN","0","0","22","64.7","0","0","0","0","0","0","0","0","1","14.3","9","64.3","0","0","17","77.3","0","0","0","0","0","0","0","0","0","NaN"
"59","Rr_P10_1_CELULAR_PapaMama","19","21.1","11","24.4","8","17.8","0","NaN","6","26.1","0","0","6","22.2","1","7.7","0","0","0","NaN","0","0","6","17.6","1","3.6","1","14.3","0","0","0","0","0","0","3","21.4","0","0","4","18.2","0","0","0","0","1","25","0","0","0","NaN"
"60","Rr_P10_1_CELULAR_HijosHijas","18","20","9","20","9","20","0","NaN","7","30.4","0","0","6","22.2","1","7.7","0","0","0","NaN","1","4.8","2","5.9","0","0","0","0","0","0","0","0","0","0","4","28.6","0","0","4","18.2","0","0","0","0","1","25","1","5.6","0","NaN"
"61","Rr_P10_1_CELULAR_Otro","9","10","4","8.9","5","11.1","0","NaN","4","17.4","0","0","4","14.8","0","0","1","12.5","0","NaN","3","14.3","6","17.6","0","0","0","0","1","7.1","1","11.1","1","14.3","2","14.3","1","4.2","3","13.6","0","0","3","13.6","0","0","6","33.3","0","NaN"
