"","A1","B2","C3","D4","E5","F6","G7","H8","I9","J10","K11","L12","M13","N14","O15","P16","Q17","R18","S19","T20","U21","V22","W23","X24","Y25","Z26","NA27","NA28","NA29","NA30","NA31","NA32","NA33","NA34","NA35","NA36","NA37","NA38","NA39","NA40","NA41","NA42","NA43","NA44","NA45","NA46","NA47","NA48","NA49","NA50","NA51","NA52","NA53","NA54","NA55","NA56","NA57","NA58","NA59","NA60","NA61","NA62","NA63","NA64","NA65","NA66","NA67","NA68","NA69","NA70","NA71","NA72","NA73","NA74","NA75"
"645","P18_TABLET_No_tiene_tanta_capacidad_de_al","26","19.4","22","18.2","4","30.8","7","15.9","19","21.1","3","15.8","23","20","0","NaN","26","19.4","19","21.1","7","15.9","6","20","20","19.2","10","14.5","16","24.6","0","NaN","9","24.3","5","16.7","5","14.3","6","25","1","12.5","0","NaN","4","11.8","9","17.6","10","26.3","3","27.3","6","23.1","1","10","4","26.7","7","36.8","8","22.2","0","0","16","26.7","5","15.6","1","12.5","4","11.8","0","NaN"
"646","P18_TABLET_Quiero_un_modelo_m_s_reciente_","25","18.7","19","15.7","6","46.2","13","29.5","12","13.3","8","42.1","17","14.8","0","NaN","25","18.7","12","13.3","13","29.5","4","13.3","21","20.2","10","14.5","15","23.1","0","NaN","11","29.7","4","13.3","6","17.1","3","12.5","1","12.5","0","NaN","6","17.6","10","19.6","6","15.8","3","27.3","4","15.4","2","20","6","40","5","26.3","7","19.4","1","3.6","10","16.7","7","21.9","1","12.5","7","20.6","0","NaN"
"647","P18_TABLET_Otra__Especificar","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","NaN","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","NaN","0","0","0","0","0","0","0","0","0","0","0","NaN","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","NaN"
"648","P18_TABLET_No_sabe___no_contest","1","0.7","1","0.8","0","0","1","2.3","0","0","0","0","1","0.9","0","NaN","1","0.7","0","0","1","2.3","0","0","1","1","1","1.4","0","0","0","NaN","0","0","0","0","0","0","1","4.2","0","0","0","NaN","0","0","1","2","0","0","0","0","1","3.8","0","0","0","0","0","0","0","0","0","0","1","1.7","0","0","0","0","0","0","0","NaN"
"649","Total","134","100","121","100","13","100","44","100","90","100","19","100","115","100","0","NaN","134","100","90","100","44","100","30","100","104","100","69","100","65","100","0","NaN","37","100","30","100","35","100","24","100","8","100","0","NaN","34","100","51","100","38","100","11","100","26","100","10","100","15","100","19","100","36","100","28","100","60","100","32","100","8","100","34","100","0","NaN"
"650",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"651","P18_COMPU","Total_Total_f","Total_Total_pct","P15_Celular_TRUE_f","P15_Celular_TRUE_pct","P15_Celular_FALSE_f","P15_Celular_FALSE_pct","P15_Tablet___Ipad_TRUE_f","P15_Tablet___Ipad_TRUE_pct","P15_Tablet___Ipad_FALSE_f","P15_Tablet___Ipad_FALSE_pct","P15_Computadora__Lap_Top_TRUE_f","P15_Computadora__Lap_Top_TRUE_pct","P15_Computadora__Lap_Top_FALSE_f","P15_Computadora__Lap_Top_FALSE_pct","P15_1_Celular_TRUE_f","P15_1_Celular_TRUE_pct","P15_1_Celular_FALSE_f","P15_1_Celular_FALSE_pct","P15_1_Tablet___Ipad_TRUE_f","P15_1_Tablet___Ipad_TRUE_pct","P15_1_Tablet___Ipad_FALSE_f","P15_1_Tablet___Ipad_FALSE_pct","P15_1_Computadora__Lap_Top_TRUE_f","P15_1_Computadora__Lap_Top_TRUE_pct","P15_1_Computadora__Lap_Top_FALSE_f","P15_1_Computadora__Lap_Top_FALSE_pct","F1Genero_Femenino_f","F1Genero_Femenino_pct","F1Genero_Masculino_f","F1Genero_Masculino_pct","NSE_A/B_f","NSE_A/B_pct","NSE_C+_f","NSE_C+_pct","NSE_C_f","NSE_C_pct","NSE_C-_f","NSE_C-_pct","NSE_D+_f","NSE_D+_pct","NSE_D_f","NSE_D_pct","NSE_E_f","NSE_E_pct","Edad_Rango_18 - 24_f","Edad_Rango_18 - 24_pct","Edad_Rango_25 - 34_f","Edad_Rango_25 - 34_pct","Edad_Rango_35 - 44_f","Edad_Rango_35 - 44_pct","Edad_Rango_45 - 55_f","Edad_Rango_45 - 55_pct","Plaza_Ciudad de México_f","Plaza_Ciudad de México_pct","Plaza_Tijuana_f","Plaza_Tijuana_pct","Plaza_Monterrey_f","Plaza_Monterrey_pct","Plaza_Guadalajara_f","Plaza_Guadalajara_pct","Plaza_Puebla_f","Plaza_Puebla_pct","Plaza_Mérida_f","Plaza_Mérida_pct","EdocivilHIjos_Casado con hijos_f","EdocivilHIjos_Casado con hijos_pct","EdocivilHIjos_Casado sin hijos_f","EdocivilHIjos_Casado sin hijos_pct","EdocivilHIjos_Soltero con Hijos_f","EdocivilHIjos_Soltero con Hijos_pct","EdocivilHIjos_Soltero sin HIjos_f","EdocivilHIjos_Soltero sin HIjos_pct","EdocivilHIjos_No contestó_f","EdocivilHIjos_No contestó_pct"
"652","P18_COMPU_Por_moda","26","9.9","23","9.5","3","13.6","5","27.8","21","8.6","15","14","11","7.1","1","50","25","9.6","4","12.9","22","9.5","11","7.1","15","14","14","10.7","12","9.1","0","NaN","11","10.7","3","4.9","5","9.6","6","17.1","1","8.3","0","NaN","7","9.7","8","9","6","8.6","5","15.6","1","1.7","0","0","3","8.6","1","2","15","31.9","6","16.7","10","9.4","7","14.9","2","9.5","7","7.9","0","NaN"
"653","P18_COMPU_Ya_no_sirve","180","68.4","161","66.8","19","86.4","11","61.1","169","69","75","70.1","105","67.3","2","100","178","68.2","21","67.7","159","68.5","105","67.3","75","70.1","85","64.9","95","72","0","NaN","73","70.9","45","73.8","33","63.5","24","68.6","5","41.7","0","NaN","50","69.4","59","66.3","49","70","22","68.8","41","68.3","29","82.9","28","80","37","74","18","38.3","27","75","67","63.2","31","66","17","81","65","73","0","NaN"
"654","P18_COMPU_Por_deterioro__Es_muy_viejo__a","136","51.7","125","51.9","11","50","8","44.4","128","52.2","61","57","75","48.1","1","50","135","51.7","16","51.6","120","51.7","75","48.1","61","57","61","46.6","75","56.8","0","NaN","56","54.4","31","50.8","24","46.2","19","54.3","6","50","0","NaN","41","56.9","51","57.3","31","44.3","13","40.6","36","60","9","25.7","9","25.7","34","68","27","57.4","21","58.3","48","45.3","27","57.4","7","33.3","54","60.7","0","NaN"
"655","P18_COMPU_La_pantalla_no_se_ve_bien_est_","96","36.5","86","35.7","10","45.5","5","27.8","91","37.1","47","43.9","49","31.4","2","100","94","36","10","32.3","86","37.1","49","31.4","47","43.9","42","32.1","54","40.9","0","NaN","45","43.7","18","29.5","14","26.9","13","37.1","6","50","0","NaN","27","37.5","37","41.6","20","28.6","12","37.5","24","40","4","11.4","16","45.7","23","46","16","34","13","36.1","31","29.2","21","44.7","4","19","40","44.9","0","NaN"
"656","P18_COMPU_No_tiene_tanta_capacidad_de_al","83","31.6","77","32","6","27.3","5","27.8","78","31.8","38","35.5","45","28.8","1","50","82","31.4","7","22.6","76","32.8","45","28.8","38","35.5","42","32.1","41","31.1","0","NaN","38","36.9","19","31.1","14","26.9","9","25.7","3","25","0","NaN","25","34.7","29","32.6","19","27.1","10","31.2","22","36.7","5","14.3","10","28.6","25","50","11","23.4","10","27.8","27","25.5","20","42.6","5","23.8","31","34.8","0","NaN"
"657","P18_COMPU_Quiero_un_modelo_m_s_reciente_","63","24","57","23.7","6","27.3","6","33.3","57","23.3","33","30.8","30","19.2","1","50","62","23.8","8","25.8","55","23.7","30","19.2","33","30.8","26","19.8","37","28","0","NaN","29","28.2","12","19.7","10","19.2","9","25.7","3","25","0","NaN","18","25","24","27","14","20","7","21.9","17","28.3","1","2.9","6","17.1","14","28","16","34","9","25","21","19.8","14","29.8","3","14.3","25","28.1","0","NaN"
"658","P18_COMPU_Otra__Especificar","3","1.1","3","1.2","0","0","1","5.6","2","0.8","0","0","3","1.9","0","0","3","1.1","0","0","3","1.3","3","1.9","0","0","0","0","3","2.3","0","NaN","1","1","1","1.6","0","0","0","0","1","8.3","0","NaN","1","1.4","0","0","1","1.4","1","3.1","1","1.7","1","2.9","0","0","0","0","1","2.1","0","0","2","1.9","0","0","0","0","1","1.1","0","NaN"
"659","P18_COMPU_No_sabe___no_contest","3","1.1","3","1.2","0","0","0","0","3","1.2","0","0","3","1.9","0","0","3","1.1","1","3.2","2","0.9","3","1.9","0","0","3","2.3","0","0","0","NaN","2","1.9","0","0","0","0","1","2.9","0","0","0","NaN","1","1.4","0","0","1","1.4","1","3.1","0","0","0","0","1","2.9","0","0","1","2.1","1","2.8","2","1.9","0","0","0","0","1","1.1","0","NaN"
"660","Total","263","100","241","100","22","100","18","100","245","100","107","100","156","100","2","100","261","100","31","100","232","100","156","100","107","100","131","100","132","100","0","NaN","103","100","61","100","52","100","35","100","12","100","0","NaN","72","100","89","100","70","100","32","100","60","100","35","100","35","100","50","100","47","100","36","100","106","100","47","100","21","100","89","100","0","NaN"
"661",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"662","P18a_CEL","Total_Total_f","Total_Total_pct","P15_Celular_TRUE_f","P15_Celular_TRUE_pct","P15_Celular_FALSE_f","P15_Celular_FALSE_pct","P15_Tablet___Ipad_TRUE_f","P15_Tablet___Ipad_TRUE_pct","P15_Tablet___Ipad_FALSE_f","P15_Tablet___Ipad_FALSE_pct","P15_Computadora__Lap_Top_TRUE_f","P15_Computadora__Lap_Top_TRUE_pct","P15_Computadora__Lap_Top_FALSE_f","P15_Computadora__Lap_Top_FALSE_pct","P15_1_Celular_TRUE_f","P15_1_Celular_TRUE_pct","P15_1_Celular_FALSE_f","P15_1_Celular_FALSE_pct","P15_1_Tablet___Ipad_TRUE_f","P15_1_Tablet___Ipad_TRUE_pct","P15_1_Tablet___Ipad_FALSE_f","P15_1_Tablet___Ipad_FALSE_pct","P15_1_Computadora__Lap_Top_TRUE_f","P15_1_Computadora__Lap_Top_TRUE_pct","P15_1_Computadora__Lap_Top_FALSE_f","P15_1_Computadora__Lap_Top_FALSE_pct","F1Genero_Femenino_f","F1Genero_Femenino_pct","F1Genero_Masculino_f","F1Genero_Masculino_pct","NSE_A/B_f","NSE_A/B_pct","NSE_C+_f","NSE_C+_pct","NSE_C_f","NSE_C_pct","NSE_C-_f","NSE_C-_pct","NSE_D+_f","NSE_D+_pct","NSE_D_f","NSE_D_pct","NSE_E_f","NSE_E_pct","Edad_Rango_18 - 24_f","Edad_Rango_18 - 24_pct","Edad_Rango_25 - 34_f","Edad_Rango_25 - 34_pct","Edad_Rango_35 - 44_f","Edad_Rango_35 - 44_pct","Edad_Rango_45 - 55_f","Edad_Rango_45 - 55_pct","Plaza_Ciudad de México_f","Plaza_Ciudad de México_pct","Plaza_Tijuana_f","Plaza_Tijuana_pct","Plaza_Monterrey_f","Plaza_Monterrey_pct","Plaza_Guadalajara_f","Plaza_Guadalajara_pct","Plaza_Puebla_f","Plaza_Puebla_pct","Plaza_Mérida_f","Plaza_Mérida_pct","EdocivilHIjos_Casado con hijos_f","EdocivilHIjos_Casado con hijos_pct","EdocivilHIjos_Casado sin hijos_f","EdocivilHIjos_Casado sin hijos_pct","EdocivilHIjos_Soltero con Hijos_f","EdocivilHIjos_Soltero con Hijos_pct","EdocivilHIjos_Soltero sin HIjos_f","EdocivilHIjos_Soltero sin HIjos_pct","EdocivilHIjos_No contestó_f","EdocivilHIjos_No contestó_pct"
"663","P18_A_CELULAR_El_precio","821","73.5","820","73.5","1","50","23","74.2","798","73.5","65","73.9","756","73.5","1","50","820","73.5","56","62.2","765","74.5","107","69","714","74.2","382","69.2","439","77.7","0","NaN","139","66.2","151","68.6","189","71.9","194","77.3","148","85.5","0","NaN","157","65.1","303","73.2","218","76.8","143","80.3","178","75.1","93","52","122","76.7","132","72.1","141","78.8","155","86.1","326","76","212","69.7","77","81.9","206","71","0","NaN"
"664","P18_A_CELULAR_Suficiente_capacidad_de_almace","566","50.7","564","50.6","2","100","17","54.8","549","50.6","53","60.2","513","49.9","2","100","564","50.6","43","47.8","523","50.9","84","54.2","482","50.1","271","49.1","295","52.2","0","NaN","123","58.6","126","57.3","138","52.5","119","47.4","60","34.7","0","NaN","144","59.8","220","53.1","133","46.8","69","38.8","106","44.7","79","44.1","77","48.4","107","58.5","101","56.4","96","53.3","207","48.3","152","50","41","43.6","166","57.2","0","NaN"
"665","P18_A_CELULAR_Que_tome_buenas_fotos","590","52.8","588","52.7","2","100","15","48.4","575","52.9","54","61.4","536","52.1","2","100","588","52.7","43","47.8","547","53.3","84","54.2","506","52.6","310","56.2","280","49.6","0","NaN","123","58.6","125","56.8","127","48.3","129","51.4","86","49.7","0","NaN","164","68","223","53.9","140","49.3","63","35.4","96","40.5","103","57.5","84","52.8","98","53.6","100","55.9","109","60.6","208","48.5","156","51.3","50","53.2","176","60.7","0","NaN"
"666","P18_A_CELULAR_Resoluci_n_de_la_pantalla","517","46.3","515","46.2","2","100","17","54.8","500","46","54","61.4","463","45","2","100","515","46.2","49","54.4","468","45.6","79","51","438","45.5","249","45.1","268","47.4","0","NaN","121","57.6","114","51.8","118","44.9","104","41.4","60","34.7","0","NaN","126","52.3","198","47.8","130","45.8","63","35.4","82","34.6","70","39.1","73","45.9","97","53","103","57.5","92","51.1","190","44.3","140","46.1","43","45.7","144","49.7","0","NaN"
"667","P18_A_CELULAR_Que_sea_c_modo_para_cargar___n","448","40.1","447","40.1","1","50","15","48.4","433","39.9","35","39.8","413","40.1","1","50","447","40.1","30","33.3","418","40.7","57","36.8","391","40.6","198","35.9","250","44.2","0","NaN","101","48.1","86","39.1","109","41.4","91","36.3","61","35.3","0","NaN","87","36.1","165","39.9","124","43.7","72","40.4","77","32.5","45","25.1","81","50.9","74","40.4","59","33","112","62.2","176","41","111","36.5","43","45.7","118","40.7","0","NaN"
"668","P18_A_CELULAR_En_el_color___dise_o","426","38.1","426","38.2","0","0","12","38.7","414","38.1","37","42","389","37.8","0","0","426","38.2","37","41.1","389","37.9","62","40","364","37.8","222","40.2","204","36.1","0","NaN","103","49","88","40","99","37.6","82","32.7","54","31.2","0","NaN","108","44.8","173","41.8","86","30.3","59","33.1","77","32.5","55","30.7","57","35.8","67","36.6","63","35.2","107","59.4","151","35.2","117","38.5","41","43.6","117","40.3","0","NaN"
"669","P18_A_CELULAR_Que_sea_f_cil_de_usar","366","32.8","365","32.7","1","50","11","35.5","355","32.7","33","37.5","333","32.4","1","50","365","32.7","28","31.1","338","32.9","51","32.9","315","32.7","184","33.3","182","32.2","0","NaN","74","35.2","81","36.8","83","31.6","79","31.5","49","28.3","0","NaN","71","29.5","118","28.5","109","38.4","68","38.2","46","19.4","39","21.8","60","37.7","61","33.3","57","31.8","103","57.2","151","35.2","86","28.3","43","45.7","86","29.7","0","NaN"
"670","P18_A_CELULAR_Otra__Especificar","27","2.4","27","2.4","0","0","1","3.2","26","2.4","1","1.1","26","2.5","0","0","27","2.4","1","1.1","26","2.5","6","3.9","21","2.2","13","2.4","14","2.5","0","NaN","7","3.3","7","3.2","2","0.8","5","2","6","3.5","0","NaN","10","4.1","7","1.7","5","1.8","5","2.8","13","5.5","8","4.5","5","3.1","0","0","1","0.6","0","0","11","2.6","7","2.3","1","1.1","8","2.8","0","NaN"
"671","P18_A_CELULAR_No_sabe___no_contest","4","0.4","4","0.4","0","0","0","0","4","0.4","0","0","4","0.4","0","0","4","0.4","0","0","4","0.4","1","0.6","3","0.3","3","0.5","1","0.2","0","NaN","1","0.5","0","0","2","0.8","1","0.4","0","0","0","NaN","1","0.4","0","0","0","0","3","1.7","0","0","2","1.1","0","0","2","1.1","0","0","0","0","2","0.5","1","0.3","0","0","1","0.3","0","NaN"
"672","Total","1117","100","1115","100","2","100","31","100","1086","100","88","100","1029","100","2","100","1115","100","90","100","1027","100","155","100","962","100","552","100","565","100","0","NaN","210","100","220","100","263","100","251","100","173","100","0","NaN","241","100","414","100","284","100","178","100","237","100","179","100","159","100","183","100","179","100","180","100","429","100","304","100","94","100","290","100","0","NaN"
"673",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"674","P18a_TABLET","Total_Total_f","Total_Total_pct","P15_Celular_TRUE_f","P15_Celular_TRUE_pct","P15_Celular_FALSE_f","P15_Celular_FALSE_pct","P15_Tablet___Ipad_TRUE_f","P15_Tablet___Ipad_TRUE_pct","P15_Tablet___Ipad_FALSE_f","P15_Tablet___Ipad_FALSE_pct","P15_Computadora__Lap_Top_TRUE_f","P15_Computadora__Lap_Top_TRUE_pct","P15_Computadora__Lap_Top_FALSE_f","P15_Computadora__Lap_Top_FALSE_pct","P15_1_Celular_TRUE_f","P15_1_Celular_TRUE_pct","P15_1_Celular_FALSE_f","P15_1_Celular_FALSE_pct","P15_1_Tablet___Ipad_TRUE_f","P15_1_Tablet___Ipad_TRUE_pct","P15_1_Tablet___Ipad_FALSE_f","P15_1_Tablet___Ipad_FALSE_pct","P15_1_Computadora__Lap_Top_TRUE_f","P15_1_Computadora__Lap_Top_TRUE_pct","P15_1_Computadora__Lap_Top_FALSE_f","P15_1_Computadora__Lap_Top_FALSE_pct","F1Genero_Femenino_f","F1Genero_Femenino_pct","F1Genero_Masculino_f","F1Genero_Masculino_pct","NSE_A/B_f","NSE_A/B_pct","NSE_C+_f","NSE_C+_pct","NSE_C_f","NSE_C_pct","NSE_C-_f","NSE_C-_pct","NSE_D+_f","NSE_D+_pct","NSE_D_f","NSE_D_pct","NSE_E_f","NSE_E_pct","Edad_Rango_18 - 24_f","Edad_Rango_18 - 24_pct","Edad_Rango_25 - 34_f","Edad_Rango_25 - 34_pct","Edad_Rango_35 - 44_f","Edad_Rango_35 - 44_pct","Edad_Rango_45 - 55_f","Edad_Rango_45 - 55_pct","Plaza_Ciudad de México_f","Plaza_Ciudad de México_pct","Plaza_Tijuana_f","Plaza_Tijuana_pct","Plaza_Monterrey_f","Plaza_Monterrey_pct","Plaza_Guadalajara_f","Plaza_Guadalajara_pct","Plaza_Puebla_f","Plaza_Puebla_pct","Plaza_Mérida_f","Plaza_Mérida_pct","EdocivilHIjos_Casado con hijos_f","EdocivilHIjos_Casado con hijos_pct","EdocivilHIjos_Casado sin hijos_f","EdocivilHIjos_Casado sin hijos_pct","EdocivilHIjos_Soltero con Hijos_f","EdocivilHIjos_Soltero con Hijos_pct","EdocivilHIjos_Soltero sin HIjos_f","EdocivilHIjos_Soltero sin HIjos_pct","EdocivilHIjos_No contestó_f","EdocivilHIjos_No contestó_pct"
"675","P18_A_TABLET_El_precio","92","68.7","87","71.9","5","38.5","27","61.4","65","72.2","14","73.7","78","67.8","0","NaN","92","68.7","65","72.2","27","61.4","21","70","71","68.3","51","73.9","41","63.1","0","NaN","20","54.1","22","73.3","27","77.1","16","66.7","7","87.5","0","NaN","18","52.9","36","70.6","30","78.9","8","72.7","11","42.3","4","40","6","40","18","94.7","28","77.8","25","89.3","42","70","23","71.9","8","100","19","55.9","0","NaN"
"676","P18_A_TABLET_Suficiente_capacidad_de_almace","71","53","61","50.4","10","76.9","30","68.2","41","45.6","7","36.8","64","55.7","0","NaN","71","53","41","45.6","30","68.2","15","50","56","53.8","35","50.7","36","55.4","0","NaN","20","54.1","17","56.7","15","42.9","16","66.7","3","37.5","0","NaN","13","38.2","31","60.8","22","57.9","5","45.5","15","57.7","6","60","6","40","10","52.6","22","61.1","12","42.9","33","55","17","53.1","5","62.5","16","47.1","0","NaN"
"677","P18_A_TABLET_Que_tome_buenas_fotos","46","34.3","39","32.2","7","53.8","15","34.1","31","34.4","8","42.1","38","33","0","NaN","46","34.3","31","34.4","15","34.1","8","26.7","38","36.5","24","34.8","22","33.8","0","NaN","10","27","11","36.7","13","37.1","7","29.2","5","62.5","0","NaN","7","20.6","17","33.3","17","44.7","5","45.5","4","15.4","4","40","5","33.3","6","31.6","18","50","9","32.1","26","43.3","14","43.8","2","25","4","11.8","0","NaN"
"678","P18_A_TABLET_Resoluci_n_de_la_pantalla","67","50","59","48.8","8","61.5","23","52.3","44","48.9","13","68.4","54","47","0","NaN","67","50","44","48.9","23","52.3","12","40","55","52.9","31","44.9","36","55.4","0","NaN","23","62.2","15","50","13","37.1","12","50","4","50","0","NaN","12","35.3","25","49","22","57.9","8","72.7","11","42.3","8","80","9","60","7","36.8","20","55.6","12","42.9","32","53.3","17","53.1","5","62.5","13","38.2","0","NaN"
"679","P18_A_TABLET_Que_sea_c_modo_para_cargar___n","51","38.1","43","35.5","8","61.5","20","45.5","31","34.4","7","36.8","44","38.3","0","NaN","51","38.1","31","34.4","20","45.5","9","30","42","40.4","25","36.2","26","40","0","NaN","19","51.4","10","33.3","8","22.9","10","41.7","4","50","0","NaN","7","20.6","22","43.1","15","39.5","7","63.6","6","23.1","4","40","8","53.3","5","26.3","14","38.9","14","50","24","40","16","50","2","25","9","26.5","0","NaN"
"680","P18_A_TABLET_En_el_color___dise_o","40","29.9","36","29.8","4","30.8","15","34.1","25","27.8","7","36.8","33","28.7","0","NaN","40","29.9","25","27.8","15","34.1","9","30","31","29.8","18","26.1","22","33.8","0","NaN","14","37.8","9","30","8","22.9","6","25","3","37.5","0","NaN","10","29.4","18","35.3","11","28.9","1","9.1","6","23.1","1","10","7","46.7","4","21.1","10","27.8","12","42.9","19","31.7","9","28.1","1","12.5","11","32.4","0","NaN"
"681","P18_A_TABLET_Que_sea_f_cil_de_usar","42","31.3","37","30.6","5","38.5","18","40.9","24","26.7","9","47.4","33","28.7","0","NaN","42","31.3","24","26.7","18","40.9","7","23.3","35","33.7","21","30.4","21","32.3","0","NaN","12","32.4","12","40","7","20","9","37.5","2","25","0","NaN","8","23.5","15","29.4","15","39.5","4","36.4","6","23.1","3","30","6","40","5","26.3","14","38.9","8","28.6","22","36.7","8","25","4","50","8","23.5","0","NaN"
"682","P18_A_TABLET_Otra__Especificar","1","0.7","1","0.8","0","0","1","2.3","0","0","0","0","1","0.9","0","NaN","1","0.7","0","0","1","2.3","0","0","1","1","0","0","1","1.5","0","NaN","1","2.7","0","0","0","0","0","0","0","0","0","NaN","1","2.9","0","0","0","0","0","0","1","3.8","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","2.9","0","NaN"
"683","P18_A_TABLET_No_sabe___no_contest","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","NaN","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","NaN","0","0","0","0","0","0","0","0","0","0","0","NaN","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","NaN"
"684","Total","134","100","121","100","13","100","44","100","90","100","19","100","115","100","0","NaN","134","100","90","100","44","100","30","100","104","100","69","100","65","100","0","NaN","37","100","30","100","35","100","24","100","8","100","0","NaN","34","100","51","100","38","100","11","100","26","100","10","100","15","100","19","100","36","100","28","100","60","100","32","100","8","100","34","100","0","NaN"
"685",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"686","P18a_COMPU","Total_Total_f","Total_Total_pct","P15_Celular_TRUE_f","P15_Celular_TRUE_pct","P15_Celular_FALSE_f","P15_Celular_FALSE_pct","P15_Tablet___Ipad_TRUE_f","P15_Tablet___Ipad_TRUE_pct","P15_Tablet___Ipad_FALSE_f","P15_Tablet___Ipad_FALSE_pct","P15_Computadora__Lap_Top_TRUE_f","P15_Computadora__Lap_Top_TRUE_pct","P15_Computadora__Lap_Top_FALSE_f","P15_Computadora__Lap_Top_FALSE_pct","P15_1_Celular_TRUE_f","P15_1_Celular_TRUE_pct","P15_1_Celular_FALSE_f","P15_1_Celular_FALSE_pct","P15_1_Tablet___Ipad_TRUE_f","P15_1_Tablet___Ipad_TRUE_pct","P15_1_Tablet___Ipad_FALSE_f","P15_1_Tablet___Ipad_FALSE_pct","P15_1_Computadora__Lap_Top_TRUE_f","P15_1_Computadora__Lap_Top_TRUE_pct","P15_1_Computadora__Lap_Top_FALSE_f","P15_1_Computadora__Lap_Top_FALSE_pct","F1Genero_Femenino_f","F1Genero_Femenino_pct","F1Genero_Masculino_f","F1Genero_Masculino_pct","NSE_A/B_f","NSE_A/B_pct","NSE_C+_f","NSE_C+_pct","NSE_C_f","NSE_C_pct","NSE_C-_f","NSE_C-_pct","NSE_D+_f","NSE_D+_pct","NSE_D_f","NSE_D_pct","NSE_E_f","NSE_E_pct","Edad_Rango_18 - 24_f","Edad_Rango_18 - 24_pct","Edad_Rango_25 - 34_f","Edad_Rango_25 - 34_pct","Edad_Rango_35 - 44_f","Edad_Rango_35 - 44_pct","Edad_Rango_45 - 55_f","Edad_Rango_45 - 55_pct","Plaza_Ciudad de México_f","Plaza_Ciudad de México_pct","Plaza_Tijuana_f","Plaza_Tijuana_pct","Plaza_Monterrey_f","Plaza_Monterrey_pct","Plaza_Guadalajara_f","Plaza_Guadalajara_pct","Plaza_Puebla_f","Plaza_Puebla_pct","Plaza_Mérida_f","Plaza_Mérida_pct","EdocivilHIjos_Casado con hijos_f","EdocivilHIjos_Casado con hijos_pct","EdocivilHIjos_Casado sin hijos_f","EdocivilHIjos_Casado sin hijos_pct","EdocivilHIjos_Soltero con Hijos_f","EdocivilHIjos_Soltero con Hijos_pct","EdocivilHIjos_Soltero sin HIjos_f","EdocivilHIjos_Soltero sin HIjos_pct","EdocivilHIjos_No contestó_f","EdocivilHIjos_No contestó_pct"
"687","P18_A_COMPU_El_precio","203","77.2","185","76.8","18","81.8","14","77.8","189","77.1","83","77.6","120","76.9","1","50","202","77.4","21","67.7","182","78.4","120","76.9","83","77.6","100","76.3","103","78","0","NaN","78","75.7","49","80.3","39","75","27","77.1","10","83.3","0","NaN","56","77.8","70","78.7","52","74.3","25","78.1","46","76.7","25","71.4","27","77.1","36","72","37","78.7","32","88.9","81","76.4","38","80.9","18","85.7","66","74.2","0","NaN"
"688","P18_A_COMPU_Suficiente_capacidad_de_almace","179","68.1","164","68","15","68.2","10","55.6","169","69","80","74.8","99","63.5","2","100","177","67.8","22","71","157","67.7","99","63.5","80","74.8","91","69.5","88","66.7","0","NaN","75","72.8","37","60.7","36","69.2","25","71.4","6","50","0","NaN","56","77.8","61","68.5","40","57.1","22","68.8","37","61.7","24","68.6","23","65.7","37","74","31","66","27","75","65","61.3","29","61.7","13","61.9","72","80.9","0","NaN"
"689","P18_A_COMPU_Que_tome_buenas_fotos","68","25.9","64","26.6","4","18.2","5","27.8","63","25.7","39","36.4","29","18.6","1","50","67","25.7","9","29","59","25.4","29","18.6","39","36.4","34","26","34","25.8","0","NaN","32","31.1","14","23","11","21.2","9","25.7","2","16.7","0","NaN","21","29.2","22","24.7","15","21.4","10","31.2","4","6.7","0","0","6","17.1","19","38","22","46.8","17","47.2","23","21.7","17","36.2","7","33.3","21","23.6","0","NaN"
"690","P18_A_COMPU_Resoluci_n_de_la_pantalla","123","46.8","109","45.2","14","63.6","9","50","114","46.5","64","59.8","59","37.8","2","100","121","46.4","17","54.8","106","45.7","59","37.8","64","59.8","57","43.5","66","50","0","NaN","53","51.5","30","49.2","16","30.8","18","51.4","6","50","0","NaN","40","55.6","43","48.3","26","37.1","14","43.8","14","23.3","11","31.4","19","54.3","24","48","29","61.7","26","72.2","41","38.7","26","55.3","9","42.9","47","52.8","0","NaN"
